,word,vec
0,existence,
1,being,
2,entity,
3,ens,
4,esse,
5,subsistence,
6,reality,
7,actuality,
8,positiveness,
9,fact,
10,matter of fact,
11,sober reality,
12,truth,
13,actual existence,
14,presence,
15,coexistence,
16,stubborn fact,
17,hard fact,
18,not a dream,
19,no joke,
20,center of life,
21,essence,
22,inmost nature,
23,inner reality,
24,vital principle,
25,ontology,
26,exist,
27,be,
28,have being,
29,subsist,
30,live,
31,breathe,
32,stand,
33,obtain,
34,be the case,
35,occur,
36,have place,
37,prevail,
38,find oneself,
39,pass the time,
40,vegetate,
41,consist in,
42,lie in,
43,be comprised in,
44,be contained in,
45,be constituted by,
46,come into existence,
47,arise,
48,come forth,
49,become,
50,bring into existence,
51,abide,
52,continue,
53,endure,
54,last,
55,remain,
56,stay,
57,existing,
58,existent,
59,under the sun,
60,in existence,
61,extant,
62,afloat,
63,afoot,
64,on foot,
65,current,
66,prevalent,
67,undestroyed,
68,real,
69,actual,
70,positive,
71,absolute,
72,true,
73,substantial,
74,substantive,
75,self-existing,
76,self-existent,
77,essential,
78,well-founded,
79,well-grounded,
80,unideal,
81,unimagined,
82,not potential,
83,authentic,
84,actually,
85,in fact,
86,in point of fact,
87,in reality,
88,indeed,
89,de facto,
90,ipso facto,
91,ens rationis,
92,ergo sum cogito,
93,thinkest thou existence doth depend on thinkest thou existence doth depend on time,
94,inexistence,
95,nonexistence,
96,nonsubsistence,
97,nonentity,
98,nil,
99,negativeness,
100,nullity,
101,nihility,
102,nihilism,
103,tabula rasa,
104,blank,
105,abeyance,
106,absence,
107,no such thing,
108,nonbeing,
109,nothingness,
110,oblivion,
111,annihilation,
112,extinction,
113,extinguishment,
114,extirpation,
115,Nirvana,
116,obliteration,
117,not exist,
118,have no existence,
119,be null and void,
120,cease to exist,
121,pass away,
122,perish,
123,be extinct,
124,become extinct,
125,die out,
126,disappear,
127,melt away,
128,dissolve,
129,leave not a rack behind,
130,go,
131,be no more,
132,die,
133,annihilate,
134,render null,
135,nullify,
136,abrogate,
137,destroy,
138,take away,
139,remove,
140,obliterate,
141,extirpate,
142,inexistent,
143,nonexistent,
144,negative,
145,blank,
146,missing,
147,omitted,
148,absent,
149,insubstantial,
150,shadowy,
151,spectral,
152,visionary,
153,unreal,
154,potential,
155,virtual,
156,baseless,
157,in nubibus,
158,unsubstantial,
159,vain,
160,unborn,
161,uncreated,
162,unbegotten,
163,unconceived,
164,unproduced,
165,unmade,
166,perished,
167,annihilated,
168,extinct,
169,exhausted,
170,gone,
171,lost,
172,vanished,
173,departed,
174,gone with the wind,
175,defunct,
176,fabulous,
177,ideal,
178,supposititious,
179,negatively,
180,virtually,
181,non ens,
182,substantiality,
183,hypostasis,
184,person,
185,being,
186,thing,
187,object,
188,article,
189,item,
190,something,
191,a being,
192,an existence,
193,creature,
194,body,
195,substance,
196,flesh and blood,
197,stuff,
198,substratum,
199,matter,
200,corporeity,
201,element,
202,essential nature,
203,groundwork,
204,materiality,
205,substantialness,
206,vital part,
207,world,
208,plenum,
209,substantive,
210,substantial,
211,hypostatic,
212,personal,
213,bodily,
214,tangible,
215,corporeal,
216,substantially,
217,bodily,
218,essentially,
219,unsubstantiality,
220,insubstantiality,
221,nothingness,
222,nihility,
223,no degree,
224,no part,
225,no quantity,
226,no thing,
227,nothing,
228,naught,
229,nil,
230,nullity,
231,zero,
232,cipher,
233,no one,
234,nobody,
235,never a one,
236,ne'er a one,
237,no such thing,
238,none in the world,
239,nothing whatever,
240,nothing at all,
241,nothing on earth,
242,not a particle,
243,all talk,
244,moonshine,
245,stuff and nonsense,
246,matter of no importance,
247,matter of no consequence,
248,thing of naught,
249,man of straw,
250,John Doe and Richard Roe,
251,faggot voter,
252,nominis umbra,
253,nonentity,
254,flash in the pan,
255,vox et praeterea nihil,
256,shadow,
257,phantom,
258,dream,
259,ignis fatuus,
260,such stuff as dreams are made of,
261,air,
262,thin air,
263,vapor,
264,bubble,
265,baseless fabric of a vision,
266,mockery,
267,hollowness,
268,blank,
269,void,
270,inanity,
271,fool's paradise,
272,vanish,
273,evaporate,
274,fade,
275,dissolve,
276,melt away,
277,disappear,
278,unsubstantial,
279,baseless,
280,groundless,
281,ungrounded,
282,without foundation,
283,having no foundation,
284,visionary,
285,immaterial,
286,spectral,
287,dreamy,
288,shadowy,
289,ethereal,
290,airy,
291,cloud built,
292,cloud formed,
293,gossamery,
294,illusory,
295,insubstantial,
296,unreal,
297,vacant,
298,vacuous,
299,empty,
300,eviscerated,
301,blank,
302,hollow,
303,nominal,
304,null,
305,inane,
306,there's nothing in it,
307,an ocean of dreams without a sound,
308,intrinsicality,
309,inbeing,
310,inherence,
311,inhesion,
312,subjectiveness,
313,ego,
314,egohood,
315,essence,
316,noumenon,
317,essentialness,
318,essential part,
319,quintessence,
320,incarnation,
321,quiddity,
322,gist,
323,pith,
324,marrow,
325,core,
326,sap,
327,lifeblood,
328,backbone,
329,heart,
330,soul,
331,important part,
332,principle,
333,nature,
334,constitution,
335,character,
336,type,
337,quality,
338,crasis,
339,diathesis,
340,habit,
341,temper,
342,temperament,
343,spirit,
344,humor,
345,grain,
346,disposition,
347,endowment,
348,capacity,
349,capability,
350,moods,
351,declensions,
352,features,
353,aspects,
354,peculiarities,
355,idiosyncrasy,
356,oddity,
357,idiocrasy,
358,diagnostics,
359,be in the blood,
360,run in the blood,
361,be born so,
362,be intrinsic,
363,derived from within,
364,subjective,
365,intrinsic,
366,intrinsical,
367,fundamental,
368,normal,
369,implanted,
370,inherent,
371,essential,
372,natural,
373,innate,
374,inborn,
375,inbred,
376,ingrained,
377,inwrought,
378,coeval with birth,
379,genetous,
380,haematobious,
381,syngenic,
382,radical,
383,incarnate,
384,thoroughbred,
385,hereditary,
386,inherited,
387,immanent,
388,congenital,
389,congenite,
390,connate,
391,running in the blood,
392,ingenerate,
393,ingenite,
394,indigenous,
395,in the grain,
396,bred in the bone,
397,instinctive,
398,inward,
399,internal,
400,to the manner born,
401,virtual,
402,characteristic,
403,invariable,
404,incurable,
405,incorrigible,
406,ineradicable,
407,fixed,
408,intrinsically,
409,at bottom,
410,in the main,
411,in effect,
412,practically,
413,virtually,
414,substantially,
415,au fond,
416,fairly,
417,character is higher than intellect,
418,come give us a taste of your quality,
419,magnos homines virtute metimur non fortuna,
420,non numero haec judicantur sed pondere,
421,vital spark of heavenly flame,
422,extrinsicality,
423,objectiveness,
424,non ego,
425,extraneousness,
426,accident,
427,appearance,
428,phenomenon,
429,derived from without,
430,objective,
431,extrinsic,
432,extrinsical,
433,extraneous,
434,modal,
435,adventitious,
436,ascititious,
437,adscititious,
438,incidental,
439,accidental,
440,nonessential,
441,contingent,
442,fortuitous,
443,implanted,
444,ingrafted,
445,inculcated,
446,infused,
447,outward,
448,apparent,
449,extrinsically,
450,state,
451,condition,
452,category,
453,estate,
454,lot,
455,ease,
456,trim,
457,mood,
458,pickle,
459,plight,
460,temper,
461,aspect,
462,dilemma,
463,pass,
464,predicament,
465,constitution,
466,habitude,
467,diathesis,
468,frame,
469,fabric,
470,stamp,
471,set,
472,fit,
473,mold,
474,mould,
475,mode,
476,modality,
477,schesis,
478,form,
479,tone,
480,tenor,
481,turn,
482,trim,
483,guise,
484,fashion,
485,light,
486,complexion,
487,style,
488,character,
489,be in a state,
490,possess a state,
491,enjoy a state,
492,labor under a state,
493,be on a footing,
494,do,
495,fare,
496,come to pass,
497,conditional,
498,modal,
499,formal,
500,structural,
501,organic,
502,conditionally,
503,as the matter stands,
504,as things are,
505,such being the case,
506,circumstance,
507,situation,
508,phase,
509,position,
510,posture,
511,attitude,
512,place,
513,point,
514,terms,
515,regime,
516,footing,
517,standing,
518,status,
519,occasion,
520,juncture,
521,conjunctive,
522,contingency,
523,predicament,
524,emergence,
525,emergency,
526,exigency,
527,crisis,
528,pinch,
529,pass,
530,push,
531,occurrence,
532,turning point,
533,bearings,
534,how the land lies,
535,surroundings,
536,context,
537,environment,
538,location,
539,contingency,
540,dependence,
541,causation,
542,attribution,
543,circumstantial,
544,given,
545,conditional,
546,provisional,
547,critical,
548,modal,
549,contingent,
550,incidental,
551,adventitious,
552,limitative,
553,in the circumstances,
554,under the circumstances,
555,the circumstances,
556,conditions,
557,thus,
558,in such wise,
559,accordingly,
560,that being the case,
561,such being the case,
562,in view of the circumstances,
563,that being so,
564,sith,
565,since,
566,seeing that,
567,as matters stand,
568,as things go,
569,as times go,
570,conditionally,
571,provided,
572,if,
573,in case,
574,if so,
575,if so be,
576,if it be so,
577,depending on circumstances,
578,in certain circumstances,
579,under certain conditions,
580,if it so happen,
581,if it so turn out,
582,in the event of,
583,in such a contingency,
584,in such a case,
585,in such an event,
586,provisionally,
587,unless,
588,without,
589,according to circumstances,
590,according to the occasion,
591,as it may happen,
592,as it may turn out,
593,as it may be,
594,as the case may be,
595,as the wind blows,
596,pro re nata,
597,yet are my sins not those of circumstance,
598,relation,
599,bearing,
600,reference,
601,connection,
602,concern,
603,cognation,
604,correlation,
605,analogy,
606,similarity,
607,affinity,
608,homology,
609,alliance,
610,homogeneity,
611,association,
612,approximation,
613,filiation,
614,interest,
615,relevancy,
616,dependency,
617,relationship,
618,relative position,
619,comparison,
620,ratio,
621,proportion,
622,link,
623,tie,
624,bond of union,
625,be related,
626,have a relation,
627,relate to,
628,refer to,
629,bear upon,
630,regard,
631,concern,
632,touch,
633,affect,
634,have to do with,
635,pertain to,
636,belong to,
637,appertain to,
638,answer to,
639,interest,
640,bring into relation with,
641,bring to bear upon,
642,connect,
643,associate,
644,draw a parallel,
645,link,
646,relative,
647,correlative,
648,cognate,
649,relating to,
650,relative to,
651,in relation with,
652,referable or referrible to,
653,belonging to,
654,appurtenant to,
655,in common with,
656,related,
657,connected,
658,implicated,
659,associated,
660,affiliated,
661,allied to,
662,en rapport,
663,in touch with,
664,approximative,
665,approximating,
666,proportional,
667,proportionate,
668,proportionable,
669,allusive,
670,comparable,
671,in the same category,
672,like,
673,relevant,
674,applicable,
675,equiparant,
676,relatively,
677,pertinently,
678,thereof,
679,as to,
680,as for,
681,as respects,
682,as regards,
683,about,
684,concerning,
685,anent,
686,relating to,
687,as relates to,
688,with relation,
689,with reference to,
690,with respect to,
691,with regard to,
692,in respect of,
693,while speaking of,
694,a propos of,
695,in connection with,
696,by the way,
697,by the by,
698,whereas,
699,for as much as,
700,in as much as,
701,in point of,
702,as far as,
703,on the part of,
704,on the score of,
705,quoad hoc,
706,pro re nata,
707,under the head of,
708,of,
709,in the matter of,
710,in re,
711,thereby hangs a tale,
712,irrelation,
713,dissociation,
714,misrelation,
715,inapplicability,
716,inconnection,
717,multifariousness,
718,disconnection,
719,inconsequence,
720,independence,
721,incommensurability,
722,irreconcilableness,
723,heterogeneity,
724,unconformity,
725,irrelevancy,
726,impertinence,
727,nihil ad rem,
728,intrusion,
729,non-pertinence,
730,have no relation to,
731,have no bearing upon,
732,have no concern with,
733,have no business with,
734,not concern,
735,have no business there,
736,have nothing to do with,
737,intrude,
738,bring in head and shoulders,
739,drag in head and shoulders,
740,lug in head and shoulders,
741,irrelative,
742,irrespective,
743,unrelated,
744,arbitrary,
745,independent,
746,unallied,
747,unconnected,
748,disconnected,
749,adrift,
750,isolated,
751,insular,
752,extraneous,
753,strange,
754,alien,
755,foreign,
756,outlandish,
757,exotic,
758,not comparable,
759,incommensurable,
760,heterogeneous,
761,unconformable,
762,irrelevant,
763,inapplicable,
764,not pertinent,
765,not to the,
766,purpose,
767,impertinent,
768,inapposite,
769,beside the mark,
770,a propos de bottes,
771,aside from the purpose,
772,away from the purpose,
773,foreign to the purpose,
774,beside the purpose,
775,beside the question,
776,beside the transaction,
777,beside the point,
778,misplaced,
779,traveling out of the record,
780,remote,
781,far-fetched,
782,out of the way,
783,forced,
784,neither here nor there,
785,quite another thing,
786,detached,
787,segregate,
788,disquiparant,
789,multifarious,
790,discordant,
791,incidental,
792,parenthetical,
793,obiter dicta,
794,episodic,
795,parenthetically,
796,by the way,
797,by the by,
798,en passant,
799,incidentally,
800,irrespectively,
801,without reference to,
802,without regard to,
803,in the abstract,
804,a se,
805,consanguinity,
806,relationship,
807,kindred,
808,blood,
809,parentage,
810,filiation,
811,affiliation,
812,lineage,
813,agnation,
814,connection,
815,alliance,
816,family connection,
817,family tie,
818,ties of blood,
819,nepotism,
820,kinsman,
821,kinfolk,
822,kith and kin,
823,relation,
824,relative,
825,connection,
826,sibling,
827,sib,
828,next of kin,
829,uncle,
830,aunt,
831,nephew,
832,niece,
833,cousin,
834,cousin-german,
835,first cousin,
836,second cousin,
837,cousin once removed,
838,cousin twice removed,
839,near relation,
840,distant relation,
841,brother,
842,sister,
843,one's own flesh and blood,
844,family,
845,fraternity,
846,brotherhood,
847,sisterhood,
848,cousinhood,
849,race,
850,stock,
851,generation,
852,sept,
853,stirps,
854,side,
855,strain,
856,breed,
857,clan,
858,tribe,
859,nation,
860,be related to,
861,claim relationship with,
862,with,
863,related,
864,akin,
865,consanguineous,
866,of the blood,
867,family,
868,allied,
869,collateral,
870,cognate,
871,agnate,
872,connate,
873,kindred,
874,affiliated,
875,fraternal,
876,intimately related,
877,nearly related,
878,closely related,
879,remotely related,
880,distantly related,
881,allied,
882,german,
883,reciprocalness,
884,reciprocity,
885,reciprocation,
886,mutuality,
887,correlation,
888,interdependence,
889,interrelation,
890,connection,
891,link,
892,association,
893,interchange,
894,exchange,
895,barter,
896,reciprocator,
897,reprocitist,
898,reciprocate,
899,alternate,
900,interchange,
901,exchange,
902,counterchange,
903,reciprocal,
904,mutual,
905,commutual,
906,correlative,
907,reciprocative,
908,interrelated,
909,closely related,
910,alternate,
911,interchangeable,
912,interdependent,
913,international,
914,complemental,
915,complementary,
916,mutually,
917,mutatis mutandis,
918,vice versa,
919,each other,
920,one another,
921,by turns,
922,reciprocally,
923,happy in our mutual help,
924,identity,
925,sameness,
926,coincidence,
927,coalescence,
928,convertibility,
929,equality,
930,selfness,
931,self,
932,oneself,
933,identification,
934,monotony,
935,tautology,
936,facsimile,
937,homoousia: alter ego,
938,ipsissima verba,
939,same,
940,self,
941,very,
942,one and the same,
943,very thing,
944,actual thing,
945,real McCoy,
946,no other,
947,one and only,
948,in the flesh,
949,be identical,
950,coincide,
951,coalesce,
952,merge,
953,treat as the same,
954,render the same,
955,identical,
956,identify,
957,recognize the identity of,
958,identical,
959,self,
960,ilk,
961,the same,
962,selfsame,
963,one and the same,
964,homoousian,
965,coincide,
966,coalescent,
967,coalescing,
968,indistinguishable,
969,one,
970,equivalent,
971,tweedle dee and tweedle dum,
972,much the same,
973,of a muchness,
974,unaltered,
975,identically,
976,on all fours,
977,contrariety,
978,contrast,
979,foil,
980,antithesis,
981,oppositeness,
982,contradiction,
983,antagonism,
984,clashing,
985,repugnance,
986,inversion,
987,the opposite,
988,the reverse,
989,the inverse,
990,the converse,
991,the antipodes,
992,the antithesis,
993,the other extreme,
994,be contrary,
995,contrast with,
996,oppose,
997,diller toto coelo,
998,invert,
999,reverse,
1000,turn the tables,
1001,turn topsy-turvy,
1002,turn end for end,
1003,turn upside down,
1004,turn inside out,
1005,contradict,
1006,contravene,
1007,antagonize,
1008,contrary,
1009,contrarious,
1010,contrariant,
1011,opposite,
1012,counter,
1013,dead against,
1014,converse,
1015,reverse,
1016,opposed,
1017,antithetical,
1018,contrasted,
1019,antipodean,
1020,antagonistic,
1021,opposing,
1022,conflicting,
1023,inconsistent,
1024,contradictory,
1025,at cross purposes,
1026,negative,
1027,hostile,
1028,differing toto coelo,
1029,diametrically opposite,
1030,diametrically opposed,
1031,as opposite as black and white,
1032,as opposite as light and darkness,
1033,as opposite as fire and water,
1034,as opposite as the poles,
1035,as different as night and day,
1036,Hyperion to a satyr,
1037,quite the contrary,
1038,quite the reverse,
1039,no such thing,
1040,just the other way,
1041,tout au contraire,
1042,contrarily,
1043,contra,
1044,contrariwise,
1045,per contra,
1046,on the contrary,
1047,nay rather,
1048,vice versa,
1049,on the other hand,
1050,all concord's born of contraries,
1051,Thesis,
1052,antithesis,
1053,synthesis,
1054,difference,
1055,variance,
1056,variation,
